Ryhmä;Suomenkielinen nimi;Tieteellinen nimi;Kuvaus;Koko;Kasvupaikka;Kemia;Levinneisyys;Mikrosienet;Muuta;Löydettyjä isäntäkasveja;Isäntäkasvin muita piensieniä;Löytöpaikoista Luopioisissa;Maastotuntomerkit;Vertaa seuraaviin;Kirjallisuus;Kuva 1;Kuva 2;Kuva 3;Kuva 4;Kuva 5;Kuva 6;Kuva 7;Kuva 8;Kuva 9;Kuva 10
Putkilokasvit;Ahonoidanlukko;Sceptridium multifidum;Monivuotinen sanikkainen, joka jakautuu maavarresta kahteen kolmiomaiseen talvehtivaan liuskaiseen lehtilapaan ja runsashaaraiseen itiöpesäkkeistöön.;10 - 25 cm;Laidunkedoilla, niityillä ja pientareilla.;;Hyvin harvinainen koko maassa.;;Taantunut. Kansainvälinen vastuulaji. Vanha nimi: Botrychium multifidum;;;Noidanlukot ovat taantuneet voimakkasti karjatalouden vähennyttyä. Näin tälläkin alueella. Kasvin vaikean havainnoinnin vuoksi noidanlukkoja voisi löytyä enemmänkin, jos sitä osattaisiin etsiä sopivilta paikoilta. Ahonoidanlukko kasvoi 80-luvulla ketomaisella tien pientareella Padankoksella muutaman kasvin voimin parin vuoden ajan. Etsiskelyistä huolimatta sitä ei ole sen jälkeen enää löytynyt ja se voidaan katsoa sieltä hävinneeksi. Kesällä 2013 löytyi uusi kasvusto Niittylahdesta. Maatalon pihakedolla kasvoi yksi kookas yksilö. Ketoa tulee hoitaa huolella.;;;- Henttonen, P. 1997: Pussikämmekkä (Coeloglossum viride) ja ahonoidanlukko (Botrychium multifidum) – Kaksi taantuvaa suosikkikasviani. - Talvikki 21: 15-20. - Häyhä, T. 2003: Uhanalaiset kasvit Kanta-Hämeessä. - Alueelliset ympäristöjulkaisut 306. Hämeen ympäristökeskus. 129s. - Ranta, Y. 1988: Ahonoidanlukon (Botrychium multiflora) esiintymisestä Pälkäneellä. - Talvikki 12: 114. - Tampereen seutukaavaliitto 1985: Pirkanmaan uhanalaiset kasvit. Julkaisu B 147. - 47 s. - Vauhkonen, M. 2003: Päijät-Hämeen uhanalaiset ja silmälläpidettävät putkilokasvit. - Alueelliset ympäristöjulkaisut 326. Hämeen ympäristökeskus. 98s.;https://luokasvit.s3-eu-west-1.amazonaws.com/Kasvilajit/botrychium_multifidum1.jpg;;;;;;;;;
Putkilokasvit;Ahonurmikohokki;Silene vulgaris;Monivuotinen kohokkikasvi, haarova sinivihreä kalju varsi, lehdet kapeita vastakkain, kukinto harsu, kukat suuria valkoisia, terälehdet kaksijakoisia, verhiö hyvin pullea.;20 - 80 cm;Kuivilla niityillä ja pientareilla, pellonreunoissa, joutomailla.;;Melko yleinen Etelä- ja Keski-Suomessa, Lapissa tulokas.;nurmikohokinruskoruoste (Uromyces behenis) tervakonnoki (Microbotryum silenes-inflatae);;;;Nurmikohokki on alueella jokseenkin yleinen, mutta niukka ketokasvi. Sen kasvupaikat ovat vanhoja hakamaita, ketoja, hiekkaisia tienpientareita ja matalakasvustoisia niittyjä. Kasvi on muiden ketokasvien tapaan harvinaistunut 2000-luvulla. Syynä on avoimien niittyjen umpeenkasvu ja pihapiirien 'siistiminen'.;;;;;;;;;;;;;
Putkilokasvit;Ahopaju;Salix starkeana;Ahopaju on pysty/koheneva pensas. Sen varret ovat punaruskeita ja kaljuja, korvakkeet pieniä munuaismaisia, lehti soikea/vastapuikea vinokärkinen ja päältä kiilävän vihreä alta sinertävä.  Ahopaju on lehtien puhjetessa kukkiva.;0,3 - 1 m;Ahoilla, kuivilla niityillä, pellonreunoissa, kangasmetsissä.;;Yleinen koko maassa, Lapissa toinen alalaji kangaspaju (ssp. cinerascens).;pajunkeltaruoste (Melampsora epitea) pajunhärmä (Erysiphe adunca) pajunpikisieni (Rhytisma salicinum);Risteytyy helposti muiden pajujen kanssa.;;;Ahopaju on alueella jokseenkin yleinen ja runsas kasvi. Sen yleisimmät kasvupaikat ovat pellonlaidat, tien pientareet ja lehtimetsät. Kasvi erottuu helposti muista pajuista matalan kasvutapansa ja lehtimuodon perusteella. Ahopaju risteytyy helposti muiden pajujen kanssa muodostaen sekakasvustoja. Risteymiä ei ole systemaattisesti kartoitettu eikä määritetty.;;;;;;;;;;;;;
Putkilokasvit;Ahosuolaheinä;Rumex acetosella;Ahosuolaheinä on monivuotinen tatarkasvi. Kasvi on kaksikotinen. Sen lehtilapa on keihästyvinen ja ehyt, kukinto lehdetön.;10 - 60 cm;Niityillä, pihoilla, pientareilla, hakkuuaukeilla, pelloilla.;;Yleinen koko maassa.;ahosuolaheinännoki (Microbotryum kuehnianum) suolaheinänruoste (Puccinia acotosae) pihatattarenruoste (Uromyces polygoni-avicularis) pihatattarenhärmä (Erysiphe polygoni) 'suolaheinänlehtihome' (Peronospora rumicis);Lehdet suolaisia. Vallitseva alalajin ketosuolaheinän (ssp. acetosella) lehtilapa on noin viisi kertaa leveytensä pituinen, kaitasuolaheinän (ssp. tenuifolius) lehtilapa on noin 15 kertaa leveytensä pituinen ja somersuolaheinän (ssp. arenicola) lehtilapa on noin 7 kertaa leveytensä pituinen ja tyviliuskaton.;;;Ahosuolaheinä on alueella hyvin yleinen ja runsas kasvi. Se viihtyy kuivilla teiden pientareilla, kallioilla, kedoilla ja penkereillä. Kasvi ei siedä kovin hyvin muiden kasvien kilpailua eikä voimakasta varjostusta. Kasvi kuuluu sadan yleisimmän kasvin joukkoon alueella. Kaitasuolaheinä on alueella  harvinainen kasvi. Se on tavattu vain pari kertaa vanhasta kuivasta hiekkakuopasta ja tien reunalta. Molemmilla paikoilla kasvoi vain muutama verso eikä ole tietoa, ovatko ne säilyneet pidempään. Somersuolaheinä on Lapin kasvi eikä sitä ole tavattu täältä.;;;;;;;;;;;;;
Putkilokasvit;Ahvenvita;Potamogeton perfoliatus;Ahvenvita on monivuotinen vitakasvi. Sen juurakko on suikertava, varsi pitkä ja yläosasta haarainen. Uposlehdet ovat ruodittomia, poimuisia ja puikeita. Lehti on <12 cm pitkä. Sen tyvi on herttamainen. Kelluslehtiä ei ole. Tähkä on 2-3 cm pitkä.;Jopa 2,5 m;Järvissä, joissa, usein syvässä vedessä.;;Yleinen koko maassa, harvinaistuu Lapissa.;;;;;Ahvenvita on alueella yleinen ja runsas vesikasvi. Sen uposkasvustot ovat usein syvällä ja jäävät siksi rannalta huomaamatta. Usein sen tapaa kuitenkin pohjasta irronneena rantavedestä. Ahvenvitaa ei voi sekoittaa kuin pieneen pitkälehtivitaan. Kasvi on ole tavannut ihan pienistä vesistä enkä happamista metsäjärvistä.;;;;;;;;;;;;;
Putkilokasvit;Äimäketunlieko;Huperzia acicularis;Äimäketunlieko on monivuotinen sanikkainen. Kasvin verso on vaaleanvihreä-kellertävä, varpumainen, pysty ja tiheälehtinen. Verson kärki on terävä, piikkimäinen. Itusilmut näkyvät yleensä selvästi. Lehdet ovat kapeat, neulamaisen litteitä, tasasesti otamaiseksi kärjeksi kapenevia ja siirottavat sivulle tai ylöspäin. Lehdet eivät ole asettuneet varrelle selviksi riveiksi. Valekiehkurat ovat etäällä toisistaan. Itiöpesäkkeet ovat verson yläosassa lehtihangoissa.;10 - 20 cm, vuosikasvaimet pitkiä, varsi nivelikäs.;Kalliorinteillä ja -penkereillä, rantametsissä, kivikoissa ja rämeillä.;;Tavataan harvinaisena koko maasta. On ketunliekolajeista harvinaisin.;;;;;Äimäketunlieon olen tavannut Luopioisista vain kerran, joten sen yleisyyttä en voi vielä tietää, koska päälaji pilkottiin vasta hiljattaln viideksi lajiksi. Laji löytyi vanhojen kuvieni joukosta vuodelta 2011. Kartassa piste on kuvan ottopaikalta. Kasvista ei silloin tullut kerättyä näytettä. Muistikirjamerkintöjen mukaan kiersin silloin kallioita katsellen lähinnä sammalia. Oudonnäköinen ketunlieko pisti silloin silmään. Se kasvoi kalliolla jäkälien keskellä kuivassa kangasmetässä. Silloin sitä ei tunut mikään häiritsevän. Metshakkuut saattavat kasvin tuhota, jos kone ajaa sen yli. Sitä kasvoi paikalla vain muutama rusuke.. Kasvin voi sekoittaa paitsi nyt erotettuihin muihin ketunliekolajeihin, niin myös riidenliekoon. Ketunliekojen pesäkkeet ovat kuitenkin lehtihangoissa eikä verson latvassa. Äimäketunlieon voi erottaa muista ketunlioista ainakin pitkien vuosikasvaimien avulla.;;;- Uotila, Pertti: Suomen ketunlieot - kaksi lajia vai viisi lajia? - verkkosivu: www.luomus.fi/lutulan- vuosikerrat-2011#vsk%202022 Numero 2/2021;https://luokasvit.s3.eu-west-1.amazonaws.com/Kasvilajit/huperzia_acicularis.jpeg;;;;;;;;;
Putkilokasvit;Äimäruoho;Subularia aquatica;Äimäruoho on yksivuotinen ristikukkaiskasvi. Se on rönsytön vanakasvi, jonka ruusukkeiset lehdet ovat äimämäisiä, kukat pieniä ja valkoteriöisiä, lidut pitkulaisia.;2 - 8 cm;Matalassa vedessä järvien suojaisella hietapohjalla, joskus rannalla.;;Jokseenkin yleinen koko maassa.;;Kansainvälinen vastuulaji.;;;Äimäruoho on alueella melko harvinainen ja vähälukuinen rantakasvi. Sen kasvustot sijaitsevat yleensä hiekkaisilla ja kivikkoisilla rannoilla vedenrajan molemmin puolin. Usen kasvin osia tapaa  aaltojen mukana rantaan kulkeutuneena. Kasvi katoaa nopeasti, jos rantaa raivataan tai jos ranta pääsee kasvamaan umpeen. Rantarakentaminen on toisaalta luonut uusia kasvupaikkoja, mutta enimmäkseen hävittänyt niitä.;;;;;;;;;;;;;
Putkilokasvit;Äimäsara;Carex dioica;Äimäsara on monivuotinen sarakasvi. Se on kaksikotinen kasvi, jonka varret ovat yksittäin, lehdet rihmamaiset vartta lyhyemmät, hedetähkä (kuva 3) vaalean ruskea, emitähkä (kuva 1) tumma ja tiheä 5-8 mm pitkä tähkä, tukilehti puuttuu.;5 - 30 cm;Meso- ja eutrofiset suot.;;Koko maassa, pohjoisessa yleinen, etelässä hyvin harvinainen.;äimäsarannoki (Anhracoidea turfosa) ohdakkeen-saranruoste (Puccinia dioicae);;;;Äimäsara on alueella äärimmäisen harvinainen. Kasvi kasvaa Luopioisissa vain muutamalla kasvupaikalla. Kuohijoen kalkkisuolta se on hävinnyt suon kuivatuksen yhteydessä 1980-luvulla. Häyläsuon kasvusto on jäänyt viime vuosina tarkistamatta. Kesällä 2012 kasvia ei etsiskelyistä huolimatta löytynyt. Joka tapauksessa sen kasvualue on pienentynyt suon pusikoitumisen seurauksena. Kasvi saattaa olla hävinnyt Luopioisista.;;;;https://luokasvit.s3-eu-west-1.amazonaws.com/Kasvilajit/carex_dioica1.jpg;https://luokasvit.s3-eu-west-1.amazonaws.com/Kasvilajit/carex_dioica2.jpg;https://luokasvit.s3-eu-west-1.amazonaws.com/Kasvilajit/carex_dioica3.jpg;;;;;;;
Putkilokasvit;Kanadanorapihlaja;Crataegus flabellata var. grayana;Aitaorapihlaja on monivuotinen ruusukasvi, jolla on orainen puutunut varsi, parihalkoiset kaljuuntuvat lehdet ja pallomaiset punaiset marjat. Kukka on vaalea.;2 - 5 m;Koristekasvi, usein viljelyjäänne ja joskus karkulainen asutuksen lähellä.;;Koristekasvina yleinen. Karkulaisena harvinainen Etelä-Suomessa asutulla alueella.;orapihlajankatajaruoste (Gymnosporangium clavariiforme) orapihlajanhärmä (Podosphaera clandestina) punapahkasieni (Nectria cinnabarina);:;;;Orapihlaja on alueella viljelyjäänne tai -karkulainen. Kasvia löytyy lähinnä asutuksen läheisyydestä tai muuten ihmisen muokkaamalta paikalta. Yleensä orapihlaja jää siementaimena yhden tai kahden pensaan kasvustoksi mutta juurruttuaan kasvaa yleensä sitkeästi vuodesta toiseen samalla paikalla. Koristejäänteenä se myös viihtyy hyvin kasvupaikallaan eikä näytä kärsivän kovinkaan paljon edes varjostuksesta.;;;;;;;;;;;;;
Putkilokasvit;Niittyaitovirna;Vicia sepium ssp. montana;Aitovirna on monivuotinen hernekasvi, jonka varsi on pysty, rento ja kalju, lehti 4-8 -lehdykkäinen ja kärhellinen, lehdykät suikeita, kukinto 2-5 -kukkainen sinipunainen terttu.;30-60 cm;Niityillä, pientareilla, tuoreissa metsissä, rannoilla.;;Yleinen Etelä- ja Keski-Suomessa.;virnanruskoruoste (Uromyces viciae-fabae) aitovirnanlehtihome (Peronospora viciae) herneenhärmä (Erysiphe pisi);Niittyaitovirnan (ssp. montana) lisäksi Etelä-Suomessa tavataan satunnaisena nimialalaji etelänaitovirna (ssp. sepium).;;;Aitovirna on alueella hyvin yleinen ja runsas kasvi. Kasvia tapaa lähes kaikkialta ja se muodostaa monesti suuria kasvustoja pientareille ja niityille. Metsissä se kasvaa yksittäin, mutta kiinnittää helposti huomion kukkiessaan polkujen varsilla tai tuoreiden metsien aurinkoisilla paikoilla. Kasvi kuuluu sadan yleisimmän kasvin joukkoon Luopioisissa. Etelänaitovirnaa en alueelta ole löytänyt.;;;;;;;;;;;;;
Putkilokasvit;Alsikeapila;Trifolium hybridum;Alsikeapila on monivuotinen hernekasvi, jonka varsi on koheneva/pysty, lehdet ruodillisia, lehdykät puikeita ja tylppiä, kukinto  pallomainen ja punavalkoinen.;15 - 50 cm;Pientareilla, pelloilla, joutomailla.;;Yleinen Etelä- ja Keski-Suomessa, Pohjois-Lapissa harvinainen.;apilanhärmä (Erysiphe trifolii) valkoapilanlehtiruoste (Uromyces trifolii-repentis) apilanpahkahome (Sclerotinia trifoliorum) metsäapilanlehtihome (Peronospora trifoliorum);Rehukasvi. Alalajit: rehualsikeapila (ssp. hybridum), rentoalsikeapila (ssp. elegans).;;;Alsikeapila on alueella yleinen ja runsas rehukasvi. Sen kasvupaikkoja ovat rehupellot, pientareet, pihat ja puutarhat, joihin se kotiutuu helposti pitkäksikin aikaa. Se ei kuitenkaan näytä kestävän kasvupaikan heinittymistä eikä liiallista varjostusta. Kasvin  alalajeja ei ole erikseen kartoitettu, mutta molempia löytyy alueelta yleisenä, jolloin pystympi rehualsikeapila kasvaa yleensä pelloilla ja niityillä ja rentoalsikeapila pientareilla.;;;;;;;;;;;;;
